Subject,Same Day,Year,participant_id,Age,Gender,kbit_std_v,Delay,Day 1 PS object target,Day 1 PS location target,Day 1 PS animal target,Day 1 PC Ab target,Day 1 PC Bc target,Day 1 PC Ac target,Day 1 PC Cb target,Day 1 PC Cb lure,Day 1 PC Ba target,Day 1 PC Ca target,Day 2 PS object target,Day 2 PS location target,Day 2 PS animal target,Day 2 PS animal lure,Day 2 PS animal foil,Day 2 PC Ab target,Day 2 PC Bc target,Day 2 PC Ac target,Day 2 PC Cb target,Day 2 PC Ba target,Day 2 PC Ca target,Day 1 PS animal lure,Day 1 PC Ab lure,Day 1 PS object foil,Day 1 PS location foil,Day 2 PS object lure,Day 2 PS location foil,Day 2 PC Ab lure,Day 2 PC Bc lure,Day 2 PC Ac lure,Day 2 PC Cb lure,Day 2 PC Ba lure,Day 2 PC Ca lure,Day 1 PS location lure,Day 1 PC Bc lure,Day 1 PC Ac lure,Day 1 PC Ba lure,Day 1 PC Ca lure,Day 2 PS object foil,Day 2 PS location lure,Day 1 PS object lure,Day 1 PS animal foil
MDEM053,False,1,MDEM053,6.9,Girl,117.0,False,9,9,9,9,9,9,8,1,9,9,9,9,7,1,1,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDEM054,False,1,MDEM054,4.51,Boy,100.0,False,9,9,8,8,9,9,9,0,9,9,9,9,8,1,0,9,9,9,9,9,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDEM059,False,1,MDEM059,6.19,Boy,97.0,False,7,8,9,9,9,9,9,0,9,9,6,8,8,1,0,6,7,8,8,5,7,0,0,2,1,3,1,3,2,1,1,4,2,0,0,0,0,0,0,0,0,0
MDEM060,False,1,MDEM060,4.56,Girl,100.0,False,9,7,8,6,7,8,8,1,6,8,8,9,8,1,0,7,6,8,7,6,9,1,3,0,1,1,0,2,3,1,2,3,0,1,2,1,3,1,0,0,0,0
MDEM061,False,1,MDEM061,7.86,Boy,127.0,False,9,9,8,9,8,9,9,0,9,9,9,9,9,0,0,9,9,9,9,9,9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
MDEM062,False,1,MDEM062,6.92,Girl,121.0,False,9,9,9,9,9,9,9,0,9,9,8,7,8,0,1,8,8,8,8,8,9,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0
MDEM063,True,1,MDEM063,5.19,Girl,109.0,False,9,9,9,8,9,9,9,0,9,9,9,9,9,0,0,9,9,9,9,9,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDEM064,False,1,MDEM064,6.77,Girl,113.0,False,9,7,8,8,9,9,8,1,8,9,8,8,9,0,0,6,8,9,9,7,9,1,1,0,1,1,0,3,1,0,0,2,0,1,0,0,1,0,0,1,0,0
MDEM065,False,1,MDEM065,5.1,Girl,103.0,False,8,9,8,8,8,9,9,0,9,6,8,6,7,2,0,7,7,7,8,4,4,1,1,0,0,1,3,2,2,2,1,5,5,0,1,0,0,3,0,0,1,0
MDEM066,False,1,MDEM066,7.31,Girl,120.0,False,9,8,9,9,8,7,9,0,9,9,9,8,8,0,1,8,8,9,5,8,8,0,0,0,1,0,0,1,1,0,4,1,1,0,1,2,0,0,0,1,0,0
MDEM067,True,1,MDEM067,7.16,Boy,114.0,False,8,8,9,8,9,9,9,0,9,9,6,9,9,0,0,9,8,9,7,8,9,0,1,0,0,3,0,0,1,0,2,1,0,1,0,0,0,0,0,0,1,0
MDEM068,True,1,MDEM068,7.16,Boy,103.0,False,9,8,8,5,8,8,9,0,9,9,9,9,9,0,0,9,9,9,8,9,9,0,4,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
MDEM069,True,1,MDEM069,4.14,Girl,127.0,False,6,5,1,1,5,2,3,6,1,2,3,3,3,2,4,3,1,2,2,4,2,5,8,1,2,3,5,6,8,7,7,5,7,2,4,7,8,7,3,1,2,3
MDEM070,True,1,MDEM070,5.53,Girl,106.0,False,7,6,5,6,8,7,7,2,7,7,7,7,8,0,1,5,8,9,7,5,9,1,3,0,2,1,0,4,1,0,2,4,0,1,1,2,2,2,1,2,2,3
MDEM071,True,1,MDEM071,5.53,Boy,99.0,False,9,9,8,9,9,9,9,0,9,9,8,8,9,0,0,9,8,9,8,9,9,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
MDEM072,True,1,MDEM072,5.92,Girl,111.0,False,7,7,9,9,7,9,8,1,9,9,9,9,8,1,0,9,9,9,8,9,9,0,0,1,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,1,0
MDEM073,True,1,MDEM073,7.29,Boy,98.0,False,9,9,9,9,9,9,9,0,9,9,8,7,9,0,0,5,9,9,7,8,9,0,0,0,0,0,2,4,0,0,2,1,0,0,0,0,0,0,1,0,0,0
MDEM074,True,1,MDEM074,7.29,Boy,117.0,False,7,7,5,7,8,9,7,2,9,9,5,6,5,3,1,9,9,9,9,8,9,3,2,1,0,2,1,0,0,0,0,1,0,2,1,0,0,0,2,2,1,1
MDEM075,True,1,MDEM075,7.54,Girl,128.0,False,9,9,9,9,8,8,9,0,9,9,9,9,9,0,0,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
MDEM076,True,1,MDEM076,4.54,Girl,121.0,False,9,9,8,6,6,9,7,2,9,9,9,9,9,0,0,8,5,9,6,6,9,1,3,0,0,0,0,1,4,0,3,3,0,0,3,0,0,0,0,0,0,0
MDEM077,True,1,MDEM077,6.74,Girl,124.0,False,9,9,9,8,7,9,7,2,9,9,9,8,9,0,0,9,9,9,9,8,9,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0
MDEM078,True,1,MDEM078,7.34,Boy,126.0,False,9,9,9,9,9,9,9,0,9,9,7,9,9,0,0,9,9,9,9,9,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MDEM079,True,1,MDEM079,4.37,Girl,124.0,False,9,8,8,6,4,8,5,4,3,4,9,7,8,1,0,4,1,8,5,3,8,0,3,0,0,0,0,5,8,1,4,6,1,1,5,1,6,5,0,2,0,1
MDEM080,True,1,MDEM080,4.0,Girl,110.0,False,8,2,9,4,2,5,2,7,2,6,8,6,7,0,2,7,2,5,3,3,7,0,5,0,4,1,2,2,7,4,6,6,2,3,7,4,7,3,0,1,1,0
